,TEAM,FUNDS REMAINING,OVERSEAS PLAYERS ,TOTAL PLAYERS
0,"




Chennai Super Kings

","₹1,50,00,000",8,25
1,"




Delhi Capitals

","₹4,45,00,000",8,25
2,"




Gujarat Titans

","₹4,45,00,000",8,25
3,"




Kolkata Knight Riders

","₹1,65,00,000",8,22
4,"




Lucknow Super Giants

","₹3,55,00,000",8,25
5,"




Mumbai Indians

","₹5,00,000",8,24
6,"




Punjab Kings

","₹12,20,00,000",7,22
7,"




Rajasthan Royals

","₹3,35,00,000",8,25
8,"




Royal Challengers Bangalore

","₹1,75,00,000",8,25
9,"




Sunrisers Hyderabad

","₹6,55,00,000",8,25
